ID,Title,Year,Authors,Region,Participants_Female,Participants_Male,Funding_Source,Research_Area,Trial_Outcome,Gender_Imbalance_Score
588,Study on Oncology (2014),2000,Author21; Author56,Oceania,283,330,Government,Neurology,Failure,47
589,Study on Oncology (2020),2011,Author36; Author80,Europe,378,141,NGO,Neurology,Success,237
590,Study on Cardiology (2015),2010,Author1; Author74,Asia,171,459,Private,Public Health,Success,288
591,Study on Genetics (2009),2021,Author13; Author69,South America,412,208,Government,Public Health,Neutral,204
592,Study on Pharmacology (2022),2003,Author37; Author70,Europe,259,465,Private,Neurology,Failure,206
593,Study on Neurology (2013),2013,Author48; Author90,Oceania,163,427,NGO,Cardiology,Success,264
594,Study on Public Health (2015),2018,Author16; Author80,North America,138,25,Private,Oncology,Neutral,113
595,Study on Cardiology (2014),2009,Author24; Author88,Europe,297,493,Government,Cardiology,Failure,196
596,Study on Pharmacology (2004),2023,Author32; Author100,Europe,449,294,Private,Cardiology,Failure,155
597,Study on Public Health (2006),2022,Author50; Author63,Oceania,300,495,Private,Pharmacology,Neutral,195
598,Study on Pharmacology (2016),2020,Author47; Author85,Africa,34,153,NGO,Cardiology,Success,119
599,Study on Genetics (2004),2000,Author49; Author66,North America,213,125,Private,Cardiology,Neutral,88
600,Study on Oncology (2008),2019,Author10; Author51,South America,60,87,Government,Pharmacology,Success,27
601,Study on Public Health (2010),2015,Author27; Author52,North America,363,184,Government,Pharmacology,Success,179
602,Study on Pharmacology (2008),2008,Author15; Author85,South America,93,469,Government,Genetics,Neutral,376
603,Study on Oncology (2009),2020,Author23; Author91,Asia,40,211,Private,Pharmacology,Success,171
604,Study on Genetics (2009),2018,Author45; Author51,Africa,120,346,NGO,Pharmacology,Neutral,226
605,Study on Pharmacology (2018),2018,Author22; Author51,Asia,426,80,Government,Genetics,Failure,346
606,Study on Genetics (2015),2007,Author49; Author93,Europe,140,54,NGO,Pharmacology,Failure,86
607,Study on Cardiology (2014),2023,Author25; Author98,Europe,253,383,NGO,Genetics,Success,130
608,Study on Pharmacology (2015),2001,Author47; Author70,Africa,439,205,Private,Oncology,Failure,234
609,Study on Neurology (2010),2018,Author7; Author64,Asia,332,276,Private,Public Health,Neutral,56
610,Study on Pharmacology (2017),2015,Author34; Author66,North America,59,357,NGO,Public Health,Neutral,298
611,Study on Public Health (2014),2005,Author27; Author82,Asia,240,323,NGO,Oncology,Neutral,83
612,Study on Neurology (2006),2016,Author4; Author60,South America,391,456,Government,Oncology,Failure,65
613,Study on Genetics (2007),2020,Author46; Author68,Oceania,181,330,Private,Cardiology,Failure,149
614,Study on Pharmacology (2012),2023,Author6; Author53,Europe,143,361,NGO,Oncology,Failure,218
615,Study on Cardiology (2013),2019,Author15; Author84,North America,194,126,Government,Public Health,Neutral,68
616,Study on Oncology (2010),2012,Author27; Author95,Europe,194,223,Private,Neurology,Success,29
617,Study on Genetics (2015),2004,Author24; Author80,Asia,296,133,Private,Neurology,Neutral,163
618,Study on Genetics (2012),2021,Author48; Author56,Africa,295,303,Private,Genetics,Success,8
619,Study on Public Health (2021),2007,Author38; Author57,North America,487,88,Government,Neurology,Success,399
620,Study on Genetics (2004),2001,Author33; Author59,Oceania,424,228,Government,Cardiology,Neutral,196
621,Study on Public Health (2001),2018,Author41; Author76,Africa,141,169,Government,Public Health,Neutral,28
622,Study on Cardiology (2016),2022,Author5; Author88,Oceania,186,475,Government,Pharmacology,Failure,289
623,Study on Pharmacology (2010),2003,Author37; Author54,Asia,20,319,Government,Pharmacology,Success,299
624,Study on Oncology (2014),2006,Author28; Author93,South America,220,178,NGO,Neurology,Success,42
625,Study on Oncology (2016),2000,Author9; Author66,Africa,72,239,NGO,Cardiology,Failure,167
626,Study on Public Health (2000),2014,Author19; Author67,Africa,189,287,Private,Genetics,Success,98
627,Study on Genetics (2004),2010,Author21; Author76,Asia,454,77,Government,Neurology,Success,377
628,Study on Public Health (2020),2013,Author45; Author98,North America,357,115,NGO,Oncology,Failure,242
629,Study on Cardiology (2002),2004,Author21; Author71,Oceania,320,344,NGO,Genetics,Neutral,24
630,Study on Public Health (2008),2013,Author29; Author68,Asia,111,80,Government,Oncology,Failure,31
631,Study on Neurology (2019),2022,Author15; Author55,Africa,305,307,Government,Cardiology,Failure,2
632,Study on Genetics (2012),2006,Author13; Author59,Europe,304,287,Government,Cardiology,Neutral,17
633,Study on Genetics (2002),2013,Author50; Author100,Europe,342,360,Private,Genetics,Neutral,18
634,Study on Neurology (2021),2016,Author38; Author57,Africa,342,419,NGO,Cardiology,Failure,77
635,Study on Pharmacology (2012),2019,Author10; Author57,North America,285,113,Government,Genetics,Neutral,172
636,Study on Neurology (2020),2015,Author11; Author79,Africa,99,451,Private,Cardiology,Failure,352
637,Study on Genetics (2015),2023,Author30; Author71,Europe,409,80,Government,Neurology,Neutral,329
638,Study on Pharmacology (2001),2023,Author27; Author58,South America,155,168,Government,Cardiology,Failure,13
639,Study on Pharmacology (2002),2001,Author35; Author73,Africa,191,362,Government,Cardiology,Failure,171
640,Study on Cardiology (2020),2022,Author50; Author64,Africa,176,371,NGO,Cardiology,Success,195
641,Study on Genetics (2009),2004,Author29; Author70,South America,354,470,Government,Oncology,Success,116
642,Study on Cardiology (2023),2016,Author30; Author67,North America,271,278,NGO,Public Health,Success,7
643,Study on Oncology (2013),2006,Author8; Author56,Asia,259,475,NGO,Genetics,Success,216
644,Study on Oncology (2020),2017,Author11; Author94,Europe,406,79,Private,Oncology,Neutral,327
645,Study on Genetics (2003),2010,Author20; Author96,Europe,387,230,Private,Oncology,Neutral,157
646,Study on Public Health (2005),2021,Author45; Author89,Oceania,238,475,NGO,Oncology,Failure,237
647,Study on Genetics (2009),2015,Author3; Author64,Asia,465,404,NGO,Public Health,Neutral,61
648,Study on Oncology (2001),2016,Author21; Author60,Asia,50,84,Government,Public Health,Success,34
649,Study on Neurology (2001),2012,Author6; Author96,Asia,205,345,Government,Oncology,Failure,140
650,Study on Neurology (2011),2010,Author16; Author73,Asia,324,487,NGO,Cardiology,Neutral,163
651,Study on Neurology (2013),2005,Author26; Author83,Europe,156,299,NGO,Oncology,Success,143
652,Study on Cardiology (2007),2014,Author4; Author94,Africa,247,479,Government,Oncology,Success,232
653,Study on Pharmacology (2013),2017,Author20; Author67,Africa,333,90,Government,Genetics,Failure,243
654,Study on Pharmacology (2021),2010,Author12; Author52,South America,499,172,Government,Pharmacology,Success,327
655,Study on Cardiology (2005),2017,Author26; Author79,Africa,84,44,Government,Pharmacology,Success,40
656,Study on Cardiology (2002),2011,Author36; Author98,Oceania,454,295,Private,Oncology,Success,159
657,Study on Pharmacology (2012),2021,Author36; Author66,North America,95,282,Government,Public Health,Neutral,187
658,Study on Pharmacology (2021),2023,Author7; Author80,North America,337,495,NGO,Oncology,Failure,158
659,Study on Cardiology (2015),2021,Author7; Author59,Oceania,423,378,NGO,Neurology,Failure,45
660,Study on Pharmacology (2004),2020,Author8; Author51,Asia,485,70,Government,Oncology,Neutral,415
661,Study on Cardiology (2014),2022,Author4; Author100,South America,182,104,Government,Oncology,Failure,78
662,Study on Genetics (2008),2008,Author15; Author59,Europe,225,172,NGO,Neurology,Neutral,53
663,Study on Public Health (2008),2019,Author13; Author76,Oceania,333,439,NGO,Genetics,Neutral,106
664,Study on Genetics (2000),2015,Author24; Author94,Africa,323,460,Private,Oncology,Neutral,137
665,Study on Public Health (2009),2006,Author41; Author92,Africa,302,84,NGO,Oncology,Neutral,218
666,Study on Genetics (2017),2007,Author6; Author88,Europe,217,382,NGO,Oncology,Failure,165
667,Study on Cardiology (2002),2008,Author38; Author67,North America,444,25,NGO,Pharmacology,Failure,419
668,Study on Public Health (2011),2017,Author5; Author52,Oceania,474,401,Private,Cardiology,Neutral,73
669,Study on Pharmacology (2009),2009,Author5; Author63,Asia,46,173,NGO,Pharmacology,Neutral,127
670,Study on Genetics (2013),2007,Author42; Author79,South America,50,460,Government,Cardiology,Failure,410
671,Study on Genetics (2008),2009,Author9; Author56,North America,92,221,NGO,Cardiology,Neutral,129
672,Study on Public Health (2009),2009,Author22; Author58,South America,185,220,NGO,Genetics,Neutral,35
673,Study on Cardiology (2012),2022,Author3; Author80,Asia,126,165,Private,Neurology,Neutral,39
674,Study on Public Health (2003),2006,Author4; Author61,Africa,170,236,Government,Oncology,Neutral,66
675,Study on Cardiology (2012),2022,Author37; Author78,Oceania,172,391,NGO,Oncology,Failure,219
676,Study on Pharmacology (2011),2022,Author47; Author76,Asia,344,488,Private,Cardiology,Failure,144
677,Study on Pharmacology (2009),2015,Author32; Author52,North America,159,430,NGO,Genetics,Success,271
678,Study on Genetics (2009),2010,Author25; Author94,Africa,373,467,Private,Neurology,Success,94
679,Study on Oncology (2021),2015,Author28; Author62,Asia,146,336,Private,Pharmacology,Success,190
680,Study on Public Health (2008),2011,Author23; Author64,Africa,319,487,Private,Neurology,Success,168
681,Study on Oncology (2018),2017,Author12; Author68,Africa,340,388,Government,Neurology,Success,48
682,Study on Genetics (2023),2023,Author18; Author79,South America,212,150,Private,Cardiology,Success,62
683,Study on Oncology (2019),2008,Author10; Author53,South America,148,87,NGO,Pharmacology,Success,61
684,Study on Genetics (2015),2009,Author40; Author90,North America,464,408,Private,Genetics,Neutral,56
685,Study on Neurology (2007),2003,Author40; Author66,Asia,237,106,NGO,Pharmacology,Success,131
686,Study on Pharmacology (2011),2018,Author42; Author69,Oceania,409,64,Government,Cardiology,Success,345
687,Study on Cardiology (2020),2021,Author32; Author77,Europe,451,77,Government,Pharmacology,Success,374
688,Study on Cardiology (2019),2017,Author36; Author81,Asia,490,104,Private,Pharmacology,Failure,386
689,Study on Neurology (2021),2012,Author4; Author56,Africa,195,23,NGO,Oncology,Neutral,172
690,Study on Genetics (2021),2012,Author18; Author75,North America,392,400,Government,Oncology,Success,8
691,Study on Genetics (2004),2011,Author9; Author77,North America,310,323,Government,Pharmacology,Neutral,13
692,Study on Genetics (2003),2004,Author13; Author92,Europe,276,325,Private,Oncology,Success,49
693,Study on Genetics (2020),2009,Author34; Author66,Africa,240,146,Private,Pharmacology,Failure,94
694,Study on Oncology (2009),2001,Author41; Author85,Africa,221,320,Private,Cardiology,Neutral,99
695,Study on Public Health (2001),2009,Author2; Author75,North America,95,300,NGO,Genetics,Neutral,205
696,Study on Pharmacology (2011),2022,Author46; Author73,Oceania,104,323,Private,Cardiology,Success,219
697,Study on Genetics (2004),2002,Author31; Author85,North America,447,128,Private,Neurology,Success,319
698,Study on Oncology (2009),2011,Author32; Author73,Europe,21,315,NGO,Cardiology,Failure,294
699,Study on Neurology (2023),2014,Author37; Author83,Oceania,74,128,NGO,Pharmacology,Failure,54
700,Study on Public Health (2005),2020,Author21; Author75,Oceania,382,128,Private,Oncology,Success,254
701,Study on Cardiology (2004),2008,Author18; Author62,Europe,130,361,NGO,Genetics,Failure,231
702,Study on Pharmacology (2011),2023,Author2; Author71,Oceania,348,23,NGO,Oncology,Failure,325
703,Study on Pharmacology (2016),2015,Author39; Author65,South America,138,193,Private,Cardiology,Success,55
704,Study on Neurology (2005),2006,Author2; Author100,North America,491,50,NGO,Pharmacology,Success,441
705,Study on Neurology (2015),2006,Author18; Author54,Europe,390,362,Private,Genetics,Success,28
706,Study on Neurology (2023),2017,Author31; Author84,Africa,368,409,Private,Public Health,Success,41
707,Study on Neurology (2003),2008,Author23; Author100,Oceania,393,254,NGO,Neurology,Neutral,139
708,Study on Public Health (2002),2017,Author38; Author65,Oceania,50,78,Private,Genetics,Neutral,28
709,Study on Cardiology (2007),2022,Author11; Author57,South America,117,267,Government,Pharmacology,Failure,150
710,Study on Genetics (2023),2008,Author16; Author93,Oceania,95,443,NGO,Cardiology,Failure,348
711,Study on Genetics (2012),2004,Author16; Author68,North America,213,319,NGO,Public Health,Failure,106
712,Study on Pharmacology (2011),2003,Author35; Author98,Oceania,62,250,NGO,Genetics,Success,188
713,Study on Oncology (2012),2019,Author4; Author99,Oceania,58,374,Private,Oncology,Failure,316
714,Study on Oncology (2008),2023,Author15; Author87,Europe,42,342,Private,Cardiology,Neutral,300
715,Study on Pharmacology (2003),2018,Author25; Author73,North America,489,201,NGO,Neurology,Success,288
716,Study on Public Health (2011),2007,Author12; Author62,South America,459,104,Private,Public Health,Success,355
717,Study on Genetics (2023),2007,Author16; Author88,Oceania,252,446,Government,Public Health,Failure,194
718,Study on Genetics (2008),2001,Author21; Author98,Asia,290,208,Government,Cardiology,Neutral,82
719,Study on Pharmacology (2012),2021,Author45; Author73,North America,37,261,Government,Pharmacology,Failure,224
720,Study on Genetics (2011),2016,Author38; Author52,North America,23,252,NGO,Cardiology,Success,229
721,Study on Oncology (2021),2007,Author46; Author95,North America,404,80,Private,Public Health,Failure,324
722,Study on Cardiology (2015),2020,Author23; Author87,North America,213,93,NGO,Oncology,Success,120
723,Study on Oncology (2019),2007,Author37; Author60,Europe,278,108,Government,Neurology,Success,170
724,Study on Pharmacology (2010),2001,Author37; Author63,Asia,401,125,Government,Oncology,Neutral,276
725,Study on Pharmacology (2007),2003,Author32; Author85,Africa,52,26,Government,Public Health,Neutral,26
726,Study on Genetics (2002),2013,Author20; Author62,North America,63,219,NGO,Oncology,Failure,156
727,Study on Genetics (2014),2010,Author32; Author53,Africa,144,401,NGO,Pharmacology,Failure,257
728,Study on Genetics (2009),2022,Author6; Author54,Europe,326,17,Government,Cardiology,Failure,309
729,Study on Genetics (2013),2015,Author15; Author89,Asia,89,483,Government,Public Health,Neutral,394
730,Study on Oncology (2004),2003,Author15; Author52,South America,53,148,Private,Neurology,Neutral,95
731,Study on Oncology (2001),2021,Author34; Author81,South America,345,496,Private,Genetics,Neutral,151
732,Study on Neurology (2015),2004,Author1; Author72,South America,486,221,Government,Neurology,Neutral,265
733,Study on Oncology (2003),2000,Author40; Author63,Oceania,463,123,Private,Pharmacology,Neutral,340
734,Study on Cardiology (2017),2017,Author9; Author72,South America,209,390,Government,Genetics,Failure,181
735,Study on Cardiology (2012),2005,Author46; Author62,South America,168,353,Government,Oncology,Success,185
736,Study on Public Health (2011),2013,Author21; Author54,Asia,127,113,Government,Oncology,Failure,14
737,Study on Genetics (2023),2020,Author2; Author60,North America,136,397,Private,Neurology,Failure,261
738,Study on Genetics (2017),2015,Author38; Author96,South America,387,114,Government,Public Health,Failure,273
739,Study on Public Health (2018),2015,Author10; Author100,Oceania,155,43,Government,Oncology,Neutral,112
740,Study on Genetics (2023),2020,Author8; Author84,North America,236,100,Private,Public Health,Neutral,136
741,Study on Cardiology (2013),2006,Author24; Author55,Africa,330,484,Government,Neurology,Neutral,154
742,Study on Genetics (2003),2009,Author24; Author96,North America,74,498,Private,Public Health,Neutral,424
743,Study on Public Health (2019),2010,Author43; Author76,Oceania,77,234,Government,Pharmacology,Neutral,157
744,Study on Public Health (2008),2009,Author38; Author57,Oceania,279,453,Private,Genetics,Failure,174
745,Study on Oncology (2022),2020,Author22; Author70,Africa,439,325,NGO,Neurology,Success,114
746,Study on Neurology (2006),2001,Author21; Author59,North America,97,260,Government,Genetics,Neutral,163
747,Study on Public Health (2014),2002,Author11; Author97,Oceania,24,362,Private,Public Health,Success,338
748,Study on Cardiology (2011),2020,Author28; Author91,Africa,27,176,NGO,Cardiology,Neutral,149
749,Study on Oncology (2021),2018,Author32; Author92,North America,349,453,Government,Pharmacology,Success,104
750,Study on Neurology (2017),2007,Author21; Author62,Oceania,192,244,Private,Public Health,Failure,52
751,Study on Genetics (2011),2017,Author46; Author86,North America,450,464,Private,Neurology,Neutral,14
752,Study on Oncology (2012),2023,Author45; Author90,Asia,478,136,NGO,Public Health,Failure,342
753,Study on Neurology (2006),2023,Author23; Author65,Africa,176,228,Government,Cardiology,Neutral,52
754,Study on Oncology (2014),2001,Author43; Author88,North America,452,217,Private,Oncology,Success,235
755,Study on Oncology (2021),2005,Author12; Author75,Asia,253,407,NGO,Public Health,Failure,154
756,Study on Cardiology (2020),2013,Author20; Author97,Oceania,249,31,NGO,Genetics,Neutral,218
757,Study on Genetics (2019),2005,Author45; Author69,Asia,455,321,Private,Neurology,Failure,134
758,Study on Oncology (2001),2001,Author9; Author62,Africa,286,386,Government,Cardiology,Failure,100
759,Study on Neurology (2007),2012,Author47; Author51,North America,488,432,NGO,Oncology,Success,56
760,Study on Cardiology (2018),2015,Author45; Author87,Asia,149,204,Government,Genetics,Failure,55
761,Study on Cardiology (2002),2005,Author26; Author100,South America,290,378,Private,Public Health,Neutral,88
762,Study on Pharmacology (2006),2023,Author37; Author53,South America,237,170,Private,Genetics,Neutral,67
763,Study on Pharmacology (2006),2009,Author12; Author89,South America,79,211,Private,Oncology,Failure,132
764,Study on Cardiology (2010),2001,Author21; Author90,Oceania,495,323,Private,Public Health,Failure,172
765,Study on Cardiology (2019),2000,Author15; Author91,North America,367,490,NGO,Public Health,Neutral,123
766,Study on Oncology (2008),2009,Author37; Author57,South America,286,390,NGO,Pharmacology,Failure,104
767,Study on Cardiology (2004),2018,Author32; Author60,Europe,100,302,Government,Genetics,Success,202
768,Study on Pharmacology (2008),2019,Author22; Author98,Africa,312,314,Government,Genetics,Success,2
769,Study on Cardiology (2003),2003,Author5; Author66,Europe,315,284,Private,Oncology,Failure,31
770,Study on Genetics (2000),2010,Author23; Author71,Europe,243,278,Government,Oncology,Neutral,35
771,Study on Cardiology (2000),2009,Author11; Author91,Oceania,333,338,Private,Cardiology,Success,5
772,Study on Neurology (2007),2014,Author6; Author96,South America,393,458,NGO,Public Health,Failure,65
773,Study on Pharmacology (2010),2020,Author43; Author91,Africa,335,370,NGO,Public Health,Failure,35
774,Study on Oncology (2005),2017,Author47; Author72,Asia,459,412,Private,Genetics,Failure,47
775,Study on Neurology (2001),2016,Author29; Author51,Oceania,298,29,Private,Pharmacology,Success,269
776,Study on Cardiology (2023),2015,Author17; Author64,Europe,232,276,NGO,Oncology,Neutral,44
777,Study on Public Health (2016),2004,Author16; Author95,Asia,278,65,Government,Genetics,Success,213
778,Study on Oncology (2023),2016,Author5; Author73,Oceania,337,241,Government,Cardiology,Neutral,96
779,Study on Oncology (2015),2014,Author17; Author57,Oceania,337,243,Private,Oncology,Neutral,94
780,Study on Public Health (2011),2008,Author47; Author51,Oceania,283,433,NGO,Neurology,Failure,150
781,Study on Pharmacology (2018),2006,Author4; Author75,Asia,168,459,Government,Cardiology,Neutral,291
782,Study on Oncology (2014),2003,Author29; Author97,North America,475,31,Government,Neurology,Neutral,444
783,Study on Pharmacology (2007),2010,Author27; Author61,Africa,187,459,NGO,Cardiology,Neutral,272
784,Study on Pharmacology (2001),2005,Author27; Author82,Africa,256,135,Private,Pharmacology,Failure,121
785,Study on Genetics (2021),2023,Author25; Author73,Europe,286,275,NGO,Public Health,Success,11
786,Study on Pharmacology (2009),2014,Author35; Author75,North America,126,285,NGO,Oncology,Failure,159
787,Study on Public Health (2020),2020,Author7; Author81,North America,422,212,Government,Cardiology,Neutral,210
788,Study on Oncology (2001),2008,Author37; Author92,North America,55,386,Government,Public Health,Neutral,331
789,Study on Public Health (2012),2022,Author49; Author94,Africa,236,30,Government,Genetics,Failure,206
790,Study on Public Health (2021),2005,Author15; Author61,Africa,167,295,Government,Public Health,Failure,128
791,Study on Oncology (2015),2000,Author29; Author55,South America,197,208,NGO,Neurology,Neutral,11
792,Study on Genetics (2014),2023,Author3; Author69,Africa,221,274,Private,Genetics,Neutral,53
793,Study on Oncology (2002),2010,Author2; Author71,Africa,143,401,NGO,Pharmacology,Neutral,258
794,Study on Neurology (2019),2009,Author17; Author57,North America,89,332,Private,Pharmacology,Failure,243
795,Study on Cardiology (2002),2018,Author5; Author72,Asia,165,35,Private,Neurology,Failure,130
796,Study on Cardiology (2008),2021,Author11; Author75,Europe,15,107,Government,Genetics,Success,92
797,Study on Pharmacology (2020),2006,Author11; Author97,Oceania,10,159,NGO,Public Health,Neutral,149
798,Study on Pharmacology (2017),2005,Author5; Author86,Oceania,277,235,Government,Neurology,Success,42
799,Study on Genetics (2010),2019,Author6; Author72,Oceania,427,213,Private,Public Health,Failure,214
800,Study on Public Health (2019),2020,Author39; Author90,Asia,398,462,NGO,Genetics,Neutral,64
801,Study on Pharmacology (2009),2012,Author31; Author96,Europe,444,165,NGO,Pharmacology,Neutral,279
802,Study on Public Health (2016),2013,Author2; Author78,South America,79,406,Government,Public Health,Success,327
803,Study on Pharmacology (2013),2016,Author42; Author61,Oceania,186,433,Government,Public Health,Neutral,247
804,Study on Oncology (2022),2010,Author39; Author78,Africa,156,156,NGO,Pharmacology,Failure,0
805,Study on Oncology (2020),2002,Author11; Author54,Europe,250,246,Government,Neurology,Success,4
806,Study on Genetics (2017),2012,Author7; Author72,Europe,283,95,Government,Cardiology,Success,188
807,Study on Genetics (2006),2021,Author14; Author63,Europe,14,226,Private,Public Health,Success,212
808,Study on Public Health (2014),2003,Author27; Author95,Europe,362,160,NGO,Oncology,Success,202
809,Study on Cardiology (2013),2005,Author36; Author97,Africa,482,323,NGO,Oncology,Neutral,159
810,Study on Neurology (2014),2004,Author47; Author85,Asia,261,480,Private,Neurology,Failure,219
811,Study on Public Health (2013),2015,Author17; Author93,Europe,494,37,Government,Public Health,Success,457
812,Study on Genetics (2003),2010,Author19; Author70,North America,396,363,NGO,Public Health,Failure,33
813,Study on Neurology (2013),2007,Author16; Author57,Europe,254,274,Government,Cardiology,Failure,20
814,Study on Neurology (2021),2000,Author4; Author76,Oceania,163,472,Private,Genetics,Failure,309
815,Study on Neurology (2011),2008,Author37; Author86,Africa,14,82,Government,Cardiology,Success,68
816,Study on Cardiology (2021),2012,Author32; Author60,North America,402,247,Government,Oncology,Success,155
817,Study on Public Health (2002),2007,Author4; Author74,Africa,230,434,NGO,Oncology,Neutral,204
818,Study on Oncology (2002),2014,Author1; Author78,South America,418,340,Private,Genetics,Success,78
819,Study on Oncology (2013),2008,Author6; Author69,Oceania,159,241,Private,Oncology,Success,82
820,Study on Oncology (2023),2010,Author43; Author91,Africa,315,56,NGO,Oncology,Failure,259
821,Study on Genetics (2011),2009,Author39; Author81,North America,128,379,Private,Public Health,Failure,251
822,Study on Cardiology (2017),2018,Author13; Author57,Asia,417,266,Government,Genetics,Failure,151
823,Study on Oncology (2018),2023,Author2; Author64,Oceania,13,67,NGO,Oncology,Neutral,54
824,Study on Pharmacology (2017),2018,Author11; Author91,North America,290,102,Private,Cardiology,Success,188
825,Study on Neurology (2021),2000,Author19; Author56,Asia,201,408,Government,Public Health,Success,207
826,Study on Oncology (2013),2008,Author31; Author58,North America,106,309,NGO,Pharmacology,Neutral,203
827,Study on Neurology (2021),2020,Author20; Author76,Europe,220,490,Government,Genetics,Success,270
828,Study on Public Health (2023),2011,Author31; Author82,Oceania,461,467,Private,Neurology,Success,6
829,Study on Oncology (2009),2022,Author43; Author67,Africa,297,366,NGO,Cardiology,Failure,69
830,Study on Pharmacology (2009),2007,Author6; Author92,South America,233,289,NGO,Neurology,Failure,56
831,Study on Neurology (2003),2001,Author35; Author75,Asia,212,79,Government,Pharmacology,Success,133
832,Study on Pharmacology (2016),2021,Author12; Author74,Asia,137,211,Government,Pharmacology,Neutral,74
833,Study on Cardiology (2004),2003,Author25; Author74,Europe,93,221,Private,Oncology,Success,128
834,Study on Genetics (2015),2014,Author12; Author79,Oceania,376,175,NGO,Oncology,Success,201
835,Study on Cardiology (2003),2009,Author3; Author67,Oceania,387,240,Government,Genetics,Neutral,147
836,Study on Neurology (2017),2005,Author29; Author80,Europe,340,22,NGO,Pharmacology,Success,318
837,Study on Neurology (2003),2012,Author17; Author65,North America,209,101,Private,Public Health,Failure,108
838,Study on Neurology (2018),2021,Author18; Author87,Asia,434,242,Private,Public Health,Failure,192
839,Study on Cardiology (2013),2016,Author4; Author60,Africa,203,312,Private,Cardiology,Failure,109
840,Study on Pharmacology (2019),2022,Author49; Author95,North America,122,469,Private,Neurology,Failure,347
841,Study on Pharmacology (2021),2009,Author43; Author57,Europe,144,374,Private,Genetics,Success,230
842,Study on Genetics (2017),2022,Author6; Author93,Asia,50,468,NGO,Public Health,Neutral,418
843,Study on Oncology (2019),2003,Author23; Author85,South America,226,113,NGO,Public Health,Failure,113
844,Study on Genetics (2022),2020,Author27; Author99,South America,330,461,Private,Pharmacology,Success,131
845,Study on Neurology (2000),2009,Author38; Author65,Asia,132,242,Government,Neurology,Neutral,110
846,Study on Cardiology (2008),2011,Author36; Author54,Africa,274,56,Government,Pharmacology,Neutral,218
847,Study on Genetics (2009),2019,Author25; Author84,Oceania,401,138,Private,Neurology,Neutral,263
848,Study on Neurology (2011),2007,Author27; Author85,Asia,419,175,NGO,Pharmacology,Neutral,244
849,Study on Oncology (2005),2007,Author44; Author81,Oceania,475,364,NGO,Pharmacology,Success,111
850,Study on Cardiology (2018),2004,Author37; Author66,Africa,323,342,Government,Oncology,Neutral,19
851,Study on Genetics (2012),2015,Author31; Author70,Europe,423,474,Government,Oncology,Success,51
852,Study on Oncology (2004),2004,Author6; Author76,Africa,365,374,NGO,Public Health,Failure,9
853,Study on Genetics (2020),2014,Author46; Author53,Africa,360,417,Government,Oncology,Failure,57
854,Study on Oncology (2002),2023,Author33; Author87,Asia,149,93,Private,Public Health,Success,56
855,Study on Genetics (2016),2019,Author34; Author87,Asia,155,377,Private,Public Health,Success,222
856,Study on Cardiology (2012),2011,Author44; Author90,South America,342,385,Government,Neurology,Neutral,43
857,Study on Public Health (2014),2013,Author10; Author58,Europe,390,73,Private,Public Health,Neutral,317
858,Study on Neurology (2005),2022,Author49; Author79,North America,282,56,Government,Public Health,Success,226
859,Study on Neurology (2009),2017,Author12; Author61,Asia,424,68,NGO,Public Health,Neutral,356
860,Study on Genetics (2010),2015,Author14; Author63,Europe,147,371,Private,Oncology,Success,224
861,Study on Pharmacology (2019),2017,Author9; Author53,Europe,221,240,Government,Oncology,Neutral,19
862,Study on Oncology (2001),2021,Author28; Author56,Oceania,106,334,Private,Cardiology,Success,228
863,Study on Cardiology (2005),2006,Author44; Author78,Oceania,446,195,Private,Pharmacology,Success,251
864,Study on Pharmacology (2001),2007,Author13; Author91,Oceania,45,53,NGO,Genetics,Neutral,8
865,Study on Genetics (2002),2021,Author10; Author89,South America,103,278,NGO,Neurology,Success,175
866,Study on Neurology (2014),2019,Author17; Author71,Asia,79,372,NGO,Genetics,Success,293
867,Study on Genetics (2013),2002,Author47; Author55,Asia,158,206,Government,Cardiology,Failure,48
868,Study on Public Health (2019),2016,Author6; Author75,Europe,66,382,NGO,Public Health,Success,316
869,Study on Public Health (2013),2014,Author36; Author76,Oceania,336,415,NGO,Public Health,Neutral,79
870,Study on Neurology (2006),2016,Author36; Author71,Oceania,243,271,Private,Cardiology,Failure,28
871,Study on Pharmacology (2003),2022,Author18; Author84,Asia,326,323,NGO,Neurology,Neutral,3
872,Study on Neurology (2013),2011,Author30; Author51,South America,241,496,NGO,Genetics,Failure,255
873,Study on Oncology (2009),2002,Author45; Author90,South America,149,91,Private,Public Health,Neutral,58
874,Study on Genetics (2021),2018,Author38; Author84,South America,368,203,Private,Public Health,Failure,165
875,Study on Pharmacology (2015),2003,Author27; Author58,Asia,328,291,Private,Oncology,Neutral,37
876,Study on Pharmacology (2021),2001,Author27; Author60,Asia,261,204,NGO,Pharmacology,Success,57
877,Study on Neurology (2001),2017,Author10; Author87,South America,106,32,Private,Genetics,Success,74
878,Study on Cardiology (2012),2016,Author38; Author88,Africa,174,403,Government,Public Health,Neutral,229
879,Study on Pharmacology (2001),2006,Author49; Author57,North America,19,97,NGO,Genetics,Failure,78
880,Study on Oncology (2006),2018,Author7; Author87,Europe,87,477,Private,Pharmacology,Failure,390
881,Study on Neurology (2006),2017,Author50; Author57,Oceania,35,181,Government,Genetics,Success,146
882,Study on Cardiology (2008),2004,Author19; Author85,Africa,283,299,NGO,Pharmacology,Success,16
